"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1317",576518759,121,2012-11-16,"Games",1.99,"Onestepmobile LLC","Onestepmobile LLC",4,11.83,3.5,49,3.5,49,"1"," Nov 16, 2012",0,0,0,0,0,1,0,0,0,1,0,46,1,46
"1318",299110947,122,2008-12-09,"Games",0.99,"Electronic Arts Inc.","Electronic Arts",5,49.31,3.5,25894,3,951,"2.4.44","2011-12-19",0,0,0,0,0,1,0,0,0,1,1,1484,4,371
"1319",524333886,123,2012-07-12,"Games",0.99,"Rovio Entertainment Ltd","Rovio Entertainment Ltd",5,19.74,4,1749,4,72,"1.0.4","2012-10-16",0,0,0,0,0,1,0,0,0,1,1,173,1,173
"1320",454802329,124,2011-08-10,"Games",1.99,"RORTOS DI SIMONETTO LUIGINO E C. SAS","RORTOS DI SIMONETTO LUIGINO E C. SAS",5,46.36,4,1425,4,389,"4.1","2012-10-12",0,0,0,0,0,1,0,0,0,1,1,510,16,31.875
"1321",471341991,125,2012-03-19,"Games",4.99,"Flying Development Studio LLC","Flying Development Studio LLC",5,43.95,4.5,726,5,29,"1.8","2012-12-05",9,0,0,0,0,1,0,0,0,1,0,288,1,288
"1322",386568787,126,2010-12-16,"Games",4.99,"Firemint Pty Ltd","Firemint Pty Ltd",5,426.99,4.5,17545,5,71,"1.13.03","2012-12-02",5,0,0,0,0,1,0,0,0,1,0,747,1,747
"1323",435797419,127,2011-07-21,"Games",0.99,"Limbic Software, Inc.","Limbic Software",5,29.42,4.5,66537,4.5,6157,"1.7","2012-08-02",6,0,0,0,0,1,0,0,0,1,0,530,1,530
"1324",493849232,128,2012-01-14,"Games",2.99,"Trino AB","Trino AB",5,67.08,4,1007,4.5,87,"1.5.6","2012-12-01",0,0,0,0,0,1,0,0,0,1,0,353,1,353
"1325",304871622,129,2009-02-15,"Games",0.99,"Mika Mobile, Inc.","Mika Mobile, Inc.",5,26.67,4,33158,4,1731,"1.7","2011-08-03",0,0,0,0,0,1,0,0,0,1,1,1416,1,1416
"1326",577991556,130,2012-11-24,"Games",1.99,"13th Lab AB","13th Lab",4,3.66,3,90,3,44,"1.0.1","2012-11-27",0,0,0,0,0,1,0,0,0,1,0,38,1,38
"1327",543607785,131,2012-08-01,"Games",1.99,"astragon Software GmbH","astragon Software GmbH",5,15.75,4,260,4,162,"1.2","2012-08-28",10,0,0,0,0,1,0,0,0,1,0,153,1,153
"1328",555289425,132,2012-12-06,"Games",0.99,"Demonual Studios","Demonual Studios",NA,240.59,5,17,5,17,"1"," Dec 06, 2012",3,0,0,0,0,1,0,0,0,1,0,26,1,26
"1329",529096189,133,2012-08-30,"Games",1.99,"Mediocre AB","Mediocre AB",5,33.17,5,3838,5,487,"1.2.0","2012-11-22",3,0,0,0,0,1,0,0,0,1,0,124,1,124
"1330",505730036,134,2012-03-15,"Games",2.99,"Namco Networks America Inc. Games","Namco Networks America Inc. Games",5,664.39,4.5,5836,4.5,342,"1.4.0","2012-11-15",10,0,0,0,0,1,0,0,0,1,0,292,1,292
"1331",571033619,135,2012-11-29,"Games",0.99,"GameFly Digital Inc","GameFly Games",5,39.39,4.5,207,4.5,207,"1"," Nov 29, 2012",0,0,0,0,0,1,0,0,0,1,0,33,1,33
"1332",371250129,136,2010-05-12,"Games",0.99,"Blue Ox Technologies Ltd.","Blue Ox Technologies Ltd.",3,0.75,3,633,3,15,"3.2.1","2012-11-26",0,0,0,0,0,1,0,0,0,1,0,965,9,107.222222222222
"1333",408982871,137,2010-12-17,"Games",0.99,"Robots and Pencils Inc.","Robots and Pencils Inc.",5,55.91,3,4252,2.5,338,"1.16.0","2012-07-23",0,0,0,0,0,1,0,0,0,1,0,746,1,746
"1334",394732447,138,2010-11-16,"Games",2.99,"Electronic Arts Inc.","Electronic Arts",5,383.29,4,4917,3.5,19,"1.2.35","2012-11-20",3,0,0,0,0,1,0,0,0,1,1,777,1,777
"1335",567533074,139,2012-10-18,"Games",0.99,"Sega America","SEGA",5,120.4,4.5,1813,4.5,212,"1.1","2012-11-26",10,0,0,0,0,1,0,0,0,0,0,75,1,75
"1336",561972052,140,2012-12-06,"Games",0.99,"Chillingo Ltd","Chillingo Ltd",5,85.92,5,7,5,7,"1"," Dec 06, 2012",3,0,0,0,0,1,0,0,0,1,0,26,1,26
"1337",335029050,141,2009-10-25,"Games",4.99,"United Soft Media Verlag GmbH","USM",5,67.11,4,11157,4,712,"3.0.0","2012-08-23",2,0,0,0,0,1,0,0,0,0,0,1164,9,129.333333333333
"1338",524359189,142,2012-06-28,"Games",6.99,"Gameloft S.A.","Gameloft",5,790.74,4.5,8596,4.5,1105,"1.0.3","2012-10-30",10,0,0,0,0,1,0,0,0,1,0,187,1,187
"1339",349276209,143,2010-01-14,"Games",0.99,"Chad Towns","Chad Towns",5,16.66,4,11098,4.5,606,"3.0.0","2012-08-14",0,0,0,0,0,1,0,0,0,1,0,1083,9,120.333333333333
"1340",562015095,144,2012-09-27,"Games",0.99,"GAMEVIL USA, Inc.","GAMEVIL Inc.",5,46.13,4.5,814,4.5,112,"1.0.1","2012-11-16",10,0,0,0,0,1,0,0,0,1,0,96,1,96
"1341",338309870,145,2009-12-08,"Games",2.99,"PopCap","PopCap",5,6.68,4,2686,4,2668,"1"," Dec 08, 2009",0,0,0,0,0,1,0,0,0,1,0,1120,1,1120
"1342",424724418,146,2011-05-24,"Games",0.99,"tap tap tap LLC","tap tap tap",5,19.53,4.5,31787,4.5,17670,"1.1","2012-04-25",0,0,0,0,0,1,0,0,0,1,0,588,1,588
"1343",281656475,147,2008-07-11,"Games",4.99,"Namco Networks America Inc. Games","Namco Networks America Inc. Games",5,3.93,4,10621,4.5,651,"3.3.0","2012-08-22",0,0,0,0,0,1,0,0,0,1,0,1635,9,181.666666666667
"1344",315286034,148,2009-05-15,"Games",0.99,"Electronic Arts Inc.","Electronic Arts",5,7.21,2.5,10432,2.5,9963,"1.0.87","2009-07-20",0,0,0,0,0,1,0,0,0,1,1,1327,1,1327
"1345",438314348,149,2011-06-01,"Games",0.99,"Clapfoot Inc","Clapfoot Inc.",5,12.73,4.5,12204,4.5,92,"1.1.3","2012-11-15",0,0,0,0,0,1,0,0,0,1,0,580,1,580
"1346",284791396,150,2008-07-11,"Games",0.99,"Mobilityware","MobilityWare",NA,12.8,4.5,56886,5,4535,"3.7","2012-10-02",0,0,0,0,0,1,0,0,0,1,0,1635,9,181.666666666667
"1347",397049430,151,2010-12-10,"Games",0.99,"Noodlecake Studios Inc","Noodlecake Studios Inc",5,46.6,4.5,37590,4.5,20920,"1.9","2012-03-21",5,0,0,0,0,1,0,0,0,1,0,753,1,753
"1348",330281895,152,2009-09-29,"Games",0.99,"NaturalMotion Games Limited","NaturalMotion",5,10.93,4,24592,4,1156,"1.10.0","2011-09-12",0,0,0,0,0,1,0,0,0,1,0,1190,1,1190
